"fg_id","fg_name","carton_id","carton_name","target_quantity","quantity_source","source_workbook","source_sheet","source_row","conflict_flag","conflict_detail","assignment_status"
"DEMO-1001","Sample Cordless Trimmer A","CTN-DEMO-A","Sample Master Carton A","12","weeklyBomQuantity","Sample BOM & FORMULA.xlsx","Sheet1","2","False","","Single"
"DEMO-1002","Sample Beard Trimmer B","CTN-DEMO-A","Sample Master Carton A","10","weeklyBomQuantity","Sample BOM & FORMULA.xlsx","Sheet1","3","False","","Single"
"DEMO-1003","Sample Hair Clipper C","CTN-DEMO-B","Sample Master Carton B","8","weeklyBomQuantity","Sample BOM & FORMULA.xlsx","Sheet1","4","False","","Single"
"DEMO-1004","Sample Nose Trimmer D","CTN-DEMO-D","Sample Master Carton D","24","weeklyBomQuantity","Sample BOM & FORMULA.xlsx","Sheet1","5","False","","Single"
"DEMO-1005","Sample Electric Shaver E","CTN-DEMO-B","Sample Master Carton B","12","weeklyBomQuantity","Sample BOM & FORMULA.xlsx","Sheet1","6","False","","Single"
"DEMO-1006","Sample Grooming Kit F","CTN-DEMO-C","Sample Master Carton C","6","weeklyBomQuantity","Sample BOM & FORMULA.xlsx","Sheet1","7","False","","Single"
"DEMO-1007","Sample Travel Trimmer G","CTN-DEMO-D","Sample Master Carton D","20","weeklyBomQuantity","Sample BOM & FORMULA.xlsx","Sheet1","8","False","","Single"
"DEMO-1008","Sample Body Groomer H","CTN-DEMO-A","Sample Master Carton A","14","weeklyBomQuantity","Sample BOM & FORMULA.xlsx","Sheet1","9","False","","Single"
"DEMO-1009","Sample Oversized Case X","CTN-DEMO-A","Sample Master Carton A","4","weeklyBomQuantity","Sample BOM & FORMULA.xlsx","Sheet1","10","False","","Single"
"DEMO-1010","Sample Charging Dock I","CTN-DEMO-C","Sample Master Carton C","18","weeklyBomQuantity","Sample BOM & FORMULA.xlsx","Sheet1","11","False","","Single"
