"carton_id","fg_id","fg_name","target_quantity"
"CTN-DEMO-A","DEMO-1001","Sample Cordless Trimmer A","12"
"CTN-DEMO-A","DEMO-1002","Sample Beard Trimmer B","10"
"CTN-DEMO-A","DEMO-1008","Sample Body Groomer H","14"
"CTN-DEMO-A","DEMO-1009","Sample Oversized Case X","4"
"CTN-DEMO-B","DEMO-1003","Sample Hair Clipper C","8"
"CTN-DEMO-B","DEMO-1005","Sample Electric Shaver E","12"
"CTN-DEMO-C","DEMO-1006","Sample Grooming Kit F","6"
"CTN-DEMO-C","DEMO-1010","Sample Charging Dock I","18"
"CTN-DEMO-D","DEMO-1004","Sample Nose Trimmer D","24"
"CTN-DEMO-D","DEMO-1007","Sample Travel Trimmer G","20"
